MAE,RMSE,R2,MedAE,Inf_Time,Train_Time
2.4608078002929688,4.5418587506939145,-0.3831639289855957,0.5846549,8.683545248849052e-05,0.3463153839111328
2.433258056640625,3.4072255828584863,-0.10620641708374023,1.8076113,8.589880807059152e-05,0.3560948371887207
1.97035813331604,2.8263187436192414,-4.096831798553467,1.3279161,8.513246263776506e-05,0.352280855178833
2.416947603225708,4.616530834820941,-0.39715874195098877,0.59235793,8.487701416015625e-05,0.3461003303527832
2.016352891921997,2.8903156836722417,0.380529522895813,0.93879294,8.409363882882255e-05,0.35384631156921387
2.8086085319519043,4.569840679104411,-0.002632617950439453,1.2854548,8.421284811837333e-05,0.34719252586364746
2.3909764289855957,3.9974832962192908,0.06203293800354004,1.2761292,9.025846208844866e-05,0.3513612747192383
2.9209580421447754,4.455269280546645,0.4009461998939514,1.9691341,8.700575147356306e-05,0.3641395568847656
3.0046231746673584,4.0785115376709475,-0.35124528408050537,1.9049563,8.627346583775111e-05,0.3546459674835205
1.619172215461731,2.0187010248343453,0.051076650619506836,1.3293598,8.891310010637556e-05,0.3534421920776367
